f [THz];Mag. [dBV]
0.43247651339380144;-210.91259581894232
0.4363037391760475;-206.30789436499282
0.4401309649582935;-200.72938389067133
0.44395819074053955;-197.5424087627519
0.4477854165227856;-202.45442945841125
0.4516126423050316;-216.29764563859385
0.45543986808727766;-219.37300151656723
0.4592670938695237;-210.8699174500808
0.4630943196517697;-215.854486667814
0.46692154543401576;-217.355081128805
0.47074877121626174;-224.57866500577865
0.4745759969985078;-227.49898895737616
0.4784032227807538;-220.08913972737474
0.48223044856299985;-216.7154531252393
0.4860576743452459;-210.9467380692907
0.4898849001274919;-193.6774366218972
0.49371212590973795;-187.56527354277756
0.497539351691984;-190.4178413459894
0.50136657747423;-204.18404135448674
0.505193803256476;-218.597021135802
0.509021029038722;-224.04929826976752
0.5128482548209681;-215.5484237712865
0.5166754806032141;-212.08539355826244
0.5205027063854601;-222.66360899230588
0.5243299321677062;-219.1411652942491
0.5281571579499522;-216.8942439062472
0.5319843837321983;-215.72826053412516
0.5358116095144443;-216.9973151122605
0.5396388352966903;-200.0211265394331
0.5434660610789364;-193.72236546221706
0.5472932868611824;-196.94220079019055
0.5511205126434284;-215.80535927102045
0.5549477384256745;-216.1116203136882
0.5587749642079205;-219.63959534001773
0.5626021899901665;-219.48589019636827
0.5664294157724126;-224.2834252272923
0.5702566415546586;-217.4956622345668
0.5740838673369046;-215.69221796629935
0.5779110931191507;-217.48099875134628
0.5817383189013966;-220.41379872856422
0.5855655446836426;-235.96552204549067
0.5893927704658887;-204.67464243899116
0.5932199962481347;-197.95777146032117
0.5970472220303807;-200.43458092436236
0.6008744478126268;-212.9323802235574
0.6047016735948728;-221.9904749815281
0.6085288993771188;-217.35478969335014
0.6123561251593649;-226.27542189989805
0.6161833509416109;-217.2040367058728
0.620010576723857;-219.5202054210139
0.623837802506103;-227.64867832651092
0.627665028288349;-228.86356704818542
0.6314922540705951;-229.4452196068735
0.6353194798528411;-225.7160091332857
0.6391467056350871;-209.30574360124308
0.6429739314173332;-202.17335099949267
0.6468011571995792;-204.7305203813151
0.6506283829818252;-214.73635041281
0.6544556087640713;-212.5704558734969
0.6582828345463173;-214.54504330025412
0.6621100603285633;-218.14328402549512
0.6659372861108094;-216.24847888456057
0.6697645118930553;-224.68303904509168
0.6735917376753013;-231.82882651311374
0.6774189634575474;-226.94119581363492
0.6812461892397934;-221.34732874172005
0.6850734150220394;-223.5721471719673
0.6889006408042855;-218.93280042091692
0.6927278665865315;-212.75652916343046
0.6965550923687776;-216.13363371072523
0.7003823181510236;-230.57278841581012
0.7042095439332696;-220.91250008020984
0.7080367697155157;-222.5688176623157
0.7118639954977617;-227.13180717998895
0.7156912212800077;-225.2095137341231
0.7195184470622538;-247.89717971593467
0.7233456728444998;-220.23248331897935
0.7271728986267458;-218.57083247853808
0.7310001244089919;-224.58000468899994
0.7348273501912379;-226.37694302709602
0.7386545759734839;-227.41242209023625
0.74248180175573;-227.64547257502713
0.746309027537976;-232.8875199265531
0.750136253320222;-219.1582146518273
0.7539634791024681;-217.79021067077167
0.757790704884714;-221.03082234509895
0.76161793066696;-229.88653996652192
0.7654451564492061;-222.57155029107503
0.7692723822314521;-232.75538554108675
0.7730996080136981;-225.532339787605
0.7769268337959442;-226.32812679776734
0.7807540595781902;-222.23948738247682
0.7845812853604363;-217.85965752307933
0.7884085111426823;-217.60795203147177
0.7922357369249283;-219.7117005460856
0.7960629627071744;-226.68002595730272
0.7998901884894204;-225.79547910486244
0.8037174142716664;-220.16651982280462
0.8075446400539125;-216.48717416175796
0.8113718658361585;-217.23081723803256
0.8151990916184045;-221.52864511964506
0.8190263174006506;-223.01367673065627
0.8228535431828966;-217.3919503520944
0.8266807689651426;-219.71251103346137
0.8305079947473887;-221.38476958329682
0.8343352205296347;-221.32276108017516
0.8381624463118807;-229.92887139226553
0.8419896720941268;-223.87797908554217
0.8458168978763728;-218.90877848194424
0.8496441236586187;-221.14227355067553
0.8534713494408648;-220.65917058511374
0.8572985752231108;-226.87529160467565
0.8611258010053569;-227.10321013442382
0.8649530267876029;-222.22022437669506
0.8687802525698489;-223.5055139086941
0.872607478352095;-218.78431283921276
0.876434704134341;-218.48043482236076
0.880261929916587;-217.01209640795332
0.8840891556988331;-215.5019414153627
0.8879163814810791;-218.32931099204296
0.8917436072633251;-221.3027016139233
0.8955708330455712;-218.51803508870321
0.8993980588278172;-218.70258176392974
0.9032252846100632;-222.15590264514003
0.9070525103923093;-226.45405173177923
0.9108797361745553;-236.08109479717442
0.9147069619568013;-233.88104447908495
0.9185341877390474;-230.0849993766113
0.9223614135212934;-229.72841073165006
0.9261886393035395;-220.41205676973988
0.9300158650857855;-224.02588609773605
0.9338430908680315;-221.66619643882737
0.9376703166502774;-224.23376834314084
0.9414975424325235;-231.72259891722325
0.9453247682147695;-227.80767922935468
0.9491519939970156;-226.88122542686412
0.9529792197792616;-234.1401745803736
0.9568064455615076;-225.6042062845754
0.9606336713437537;-220.70856104231947
0.9644608971259997;-220.61308236294173
0.9682881229082457;-221.5424609204678
0.9721153486904918;-219.75437422289343
0.9759425744727378;-220.87555228953138
0.9797698002549838;-223.99262942377248
0.9835970260372299;-217.82741019396957
0.9874242518194759;-216.22704415453995
0.9912514776017219;-217.00980899397445
0.995078703383968;-221.92078032778716
0.998905929166214;-236.65746437157543
1.00273315494846;-232.25361447246271
1.006560380730706;-226.22682667661036
1.010387606512952;-224.63104634783505
1.014214832295198;-229.525489459746
1.018042058077444;-223.25708062513738
1.0218692838596901;-220.87418917330214
1.0256965096419361;-219.0983937856092
1.0295237354241822;-221.5568738965847
1.0333509612064282;-227.11121064839625
1.0371781869886743;-232.29552008143236
1.0410054127709203;-220.05280232002337
1.0448326385531663;-217.33034803024742
1.0486598643354124;-217.5208524659152
1.0524870901176584;-221.02511110505583
1.0563143158999044;-218.21812748389482
1.0601415416821505;-220.8716143572541
1.0639687674643965;-227.88158745541307
1.0677959932466425;-223.8232161850746
1.0716232190288886;-222.134894294033
1.0754504448111346;-234.6459811187714
1.0792776705933806;-222.76716261419386
1.0831048963756267;-218.81014795600487
1.0869321221578727;-218.0752770694011
1.0907593479401188;-222.75734185497868
1.0945865737223648;-226.5766369467633
1.0984137995046108;-219.5173729906325
1.1022410252868569;-221.62336234051295
1.106068251069103;-225.36150794167958
1.109895476851349;-219.20309048594075
1.113722702633595;-224.02164484083073
1.117549928415841;-245.97846344914174
1.121377154198087;-231.04375748901987
1.125204379980333;-223.18841220410684
1.129031605762579;-219.30283117276775
1.1328588315448251;-218.83270049032134
1.1366860573270712;-223.5282661997617
1.1405132831093172;-222.97062623883932
1.1443405088915632;-219.3490501237336
1.1481677346738093;-219.82849957968827
1.1519949604560553;-222.8489304872809
1.1558221862383014;-223.25109519727536
1.1596494120205472;-223.23934355152122
1.1634766378027932;-243.1166009990633
1.1673038635850392;-222.7460306394131
1.1711310893672853;-222.92625429911197
1.1749583151495313;-225.7761291784164
1.1787855409317773;-227.56174641832672
1.1826127667140234;-226.07493094997292
1.1864399924962694;-228.00824927864252
1.1902672182785154;-231.73659146785354
1.1940944440607615;-224.6249616101017
1.1979216698430075;-223.08344160294052
1.2017488956252536;-224.47876416363766
1.2055761214074996;-224.37058095194917
1.2094033471897456;-228.71361447308803
1.2132305729719917;-226.78123779143823
1.2170577987542377;-219.42518643104847
1.2208850245364837;-219.60147280072937
1.2247122503187298;-222.00717501170803
1.2285394761009758;-224.4671621990325
1.2323667018832218;-232.57446722938073
1.2361939276654679;-241.26793718881362
