t [ps];I [nA]
20.361092266666667;(1.1029969728626832e-08-3.573187730371576e-09j)
20.39072995555556;(1.0119675975099126e-08-3.3846712306225853e-09j)
20.420367644444447;(9.191737788045549e-09-3.235622246921941e-09j)
20.450005333333333;(8.228432791946862e-09-3.0993327176294356e-09j)
20.479643022222227;(7.2950363928172485e-09-2.967438342870662e-09j)
20.509280711111114;(6.420314652589843e-09-2.819922341212911e-09j)
20.5389184;(5.5733871254689116e-09-2.668717023782474e-09j)
20.568556088888894;(4.706360145581093e-09-2.528099717707791e-09j)
20.59819377777778;(3.821897990143289e-09-2.4259067702225623e-09j)
20.627831466666667;(2.9105634745371017e-09-2.3243156160005354e-09j)
20.65746915555556;(2.0179326419584383e-09-2.2085006928992523e-09j)
20.687106844444447;(1.1723308043448508e-09-2.0776279785956852e-09j)
20.716744533333333;(3.0189046879167064e-10-1.8792907876825286e-09j)
20.746382222222227;(-5.891459003135557e-10-1.6379761727991065e-09j)
20.776019911111113;(-1.4957253401242877e-09-1.3576674058885157e-09j)
20.8056576;(-2.445581319356581e-09-1.07192487206608e-09j)
20.835295288888894;(-3.4173269604027674e-09-8.077693222456298e-10j)
20.86493297777778;(-4.354528267764892e-09-5.345565319919392e-10j)
20.89457066666667;(-5.283865541238401e-09-2.2986825888046874e-10j)
20.92420835555556;(-6.155234485930829e-09+8.746117369885403e-11j)
20.953846044444447;(-6.982261991059075e-09+3.974105620725615e-10j)
20.983483733333337;(-7.831893656983744e-09+6.743298657018878e-10j)
21.013121422222227;(-8.710635214060513e-09+8.676545081354343e-10j)
21.042759111111113;(-9.575967370177684e-09+1.01550524885059e-09j)
21.072396800000003;(-1.0433971811938213e-08+1.137641519435931e-09j)
21.102034488888894;(-1.1275736004453677e-08+1.234160609188141e-09j)
21.13167217777778;(-1.2106893268250142e-08+1.326231108997456e-09j)
21.16130986666667;(-1.2911559774403664e-08+1.4294658012813354e-09j)
21.19094755555556;(-1.3707126353216627e-08+1.5289073779747276e-09j)
21.220585244444447;(-1.4490970185979235e-08+1.6520468830121148e-09j)
21.250222933333337;(-1.528435905689874e-08+1.825284479520902e-09j)
21.279860622222227;(-1.6076270408044862e-08+2.0542390543246816e-09j)
21.309498311111113;(-1.6868762731070614e-08+2.28442067809889e-09j)
21.339136000000003;(-1.7696060361405183e-08+2.477351863944962e-09j)
21.368773688888894;(-1.8522280193394922e-08+2.6583867922109263e-09j)
21.39841137777778;(-1.933185507969019e-08+2.8136094082702965e-09j)
21.42804906666667;(-2.0140904517795347e-08+2.9773726610543135e-09j)
21.45768675555556;(-2.093509295441197e-08+3.1358783609367054e-09j)
21.487324444444447;(-2.165169581798332e-08+3.278734733495369e-09j)
21.516962133333337;(-2.2324613330543003e-08+3.4160344991211215e-09j)
21.546599822222227;(-2.3012320843059043e-08+3.5613186818561343e-09j)
21.576237511111113;(-2.371156119095287e-08+3.685963038571591e-09j)
21.605875200000003;(-2.4437248135502063e-08+3.778827637697086e-09j)
21.635512888888893;(-2.5182525053830772e-08+3.862371197444102e-09j)
21.66515057777778;(-2.594020629606672e-08+3.972391818171712e-09j)
21.69478826666667;(-2.6727464958574945e-08+4.0887724195700036e-09j)
21.72442595555556;(-2.7544070286375875e-08+4.196318489493248e-09j)
21.754063644444447;(-2.8341548624436687e-08+4.281860963483062e-09j)
21.783701333333337;(-2.9098795627198164e-08+4.3682908337850554e-09j)
21.813339022222227;(-2.982391744623044e-08+4.4794476632875146e-09j)
21.842976711111113;(-3.051002177363155e-08+4.62164966705396e-09j)
21.872614400000003;(-3.117648963230517e-08+4.798710290698365e-09j)
21.902252088888893;(-3.1824636638876915e-08+4.974901206993622e-09j)
21.93188977777778;(-3.2466728492290256e-08+5.1529076373802234e-09j)
21.96152746666667;(-3.308747738340346e-08+5.327296859086505e-09j)
21.99116515555556;(-3.3659908994830656e-08+5.487490135178302e-09j)
22.020802844444447;(-3.42041645449459e-08+5.629687225343904e-09j)
22.050440533333337;(-3.4755890426682234e-08+5.7710986921547784e-09j)
22.080078222222227;(-3.5325810389618705e-08+5.9218430524061655e-09j)
22.109715911111113;(-3.589412612330006e-08+6.088073485593284e-09j)
22.139353600000003;(-3.6453291933752285e-08+6.227993981648469e-09j)
22.168991288888893;(-3.702949547086633e-08+6.334353785488279e-09j)
22.19862897777778;(-3.762068690321068e-08+6.4193303969210515e-09j)
22.22826666666667;(-3.8258974585431636e-08+6.509977979346348e-09j)
22.25790435555556;(-3.890812888017613e-08+6.601933746575987e-09j)
22.287542044444447;(-3.9551292021413186e-08+6.703197225041821e-09j)
22.317179733333337;(-4.0209483840767535e-08+6.834839470657356e-09j)
22.346817422222227;(-4.0866560579830663e-08+7.006790563625518e-09j)
22.376455111111113;(-4.1514923907679504e-08+7.17928540794693e-09j)
22.406092800000003;(-4.217542972593068e-08+7.348896091413733e-09j)
22.435730488888893;(-4.28315425393485e-08+7.522167468928313e-09j)
22.46536817777778;(-4.345640835234772e-08+7.670154500646842e-09j)
22.49500586666667;(-4.409483711633287e-08+7.79557575907553e-09j)
22.52464355555556;(-4.475299300498106e-08+7.896936035477964e-09j)
22.554281244444446;(-4.541761107719745e-08+7.99121458466594e-09j)
22.583918933333337;(-4.607690636846104e-08+8.114018675025806e-09j)
22.613556622222227;(-4.675051196939872e-08+8.258409565127627e-09j)
22.643194311111113;(-4.7415855534779535e-08+8.420703589839684e-09j)
22.672832000000003;(-4.807417136113515e-08+8.602420403062585e-09j)
22.702469688888893;(-4.872240521560179e-08+8.772039562490842e-09j)
22.73210737777778;(-4.937407625669788e-08+8.908200723961333e-09j)
22.76174506666667;(-5.004796549524421e-08+9.034987472064192e-09j)
22.79138275555556;(-5.071189646180277e-08+9.166786277286575e-09j)
22.821020444444446;(-5.135205002252371e-08+9.28692375646914e-09j)
22.850658133333337;(-5.2047830888324264e-08+9.406146261754795e-09j)
22.880295822222227;(-5.276761936216192e-08+9.530411841265295e-09j)
22.909933511111113;(-5.343105786307603e-08+9.665144373290789e-09j)
22.939571200000003;(-5.405879100784697e-08+9.786629530344469e-09j)
22.969208888888893;(-5.466601588826093e-08+9.89889978179787e-09j)
22.99884657777778;(-5.5282627343204584e-08+1.0005614593298561e-08j)
23.02848426666667;(-5.593707659563712e-08+1.0119247140585586e-08j)
23.05812195555556;(-5.6617755079307744e-08+1.0247792957790109e-08j)
23.087759644444446;(-5.7311652070545224e-08+1.0373447243738761e-08j)
23.117397333333336;(-5.8051352297597576e-08+1.0541496937637865e-08j)
23.147035022222227;(-5.8821270924152135e-08+1.0737571108262934e-08j)
23.176672711111113;(-5.957756892633086e-08+1.0928469476020394e-08j)
23.206310400000003;(-6.032899853279471e-08+1.1114478872359439e-08j)
23.235948088888893;(-6.110002038557845e-08+1.1329086346902811e-08j)
23.26558577777778;(-6.188385531243954e-08+1.1546066537873084e-08j)
23.29522346666667;(-6.266467046306275e-08+1.1759207916765035e-08j)
23.32486115555556;(-6.343944599979023e-08+1.1948875857451489e-08j)
23.354498844444446;(-6.422824624314282e-08+1.2125004186756012e-08j)
23.384136533333336;(-6.505927391071706e-08+1.2292524071644259e-08j)
23.413774222222226;(-6.591172831748581e-08+1.24652884883919e-08j)
23.443411911111113;(-6.672908653177586e-08+1.2624095023485884e-08j)
23.473049600000003;(-6.752840059111147e-08+1.277199545298956e-08j)
23.502687288888893;(-6.83088513368122e-08+1.2926796604936654e-08j)
23.53232497777778;(-6.907017533845284e-08+1.3087636019539256e-08j)
23.56196266666667;(-6.984044921834832e-08+1.3241334313777217e-08j)
23.59160035555556;(-7.062125405040977e-08+1.3398130326246413e-08j)
23.621238044444446;(-7.142331499687647e-08+1.3558352899683234e-08j)
23.650875733333336;(-7.225411731443206e-08+1.373134248218949e-08j)
23.680513422222226;(-7.309147112025118e-08+1.3901272979651136e-08j)
23.710151111111113;(-7.391232020225988e-08+1.4088798283270145e-08j)
23.739788800000003;(-7.47306917853037e-08+1.4291089510201386e-08j)
23.769426488888893;(-7.552317489532787e-08+1.4484545100097387e-08j)
23.79906417777778;(-7.629249762494024e-08+1.467038374880715e-08j)
23.82870186666667;(-7.707223196763811e-08+1.486504532060997e-08j)
23.85833955555556;(-7.783796623313508e-08+1.5035753456824976e-08j)
23.887977244444446;(-7.859361778970295e-08+1.5191416392939855e-08j)
23.917614933333336;(-7.935831325856178e-08+1.5333193800173488e-08j)
23.947252622222226;(-8.010316508899758e-08+1.5453959790323837e-08j)
23.976890311111113;(-8.08222576126959e-08+1.5577564183420947e-08j)
24.006528000000003;(-8.153638653966299e-08+1.5719383786201813e-08j)
24.036165688888893;(-8.220336854524478e-08+1.5864463993081846e-08j)
24.06580337777778;(-8.281817468181884e-08+1.599826668756788e-08j)
24.09544106666667;(-8.342958773133104e-08+1.6120208195299822e-08j)
24.12507875555556;(-8.402805915468384e-08+1.6238565231217053e-08j)
24.154716444444446;(-8.459202678155953e-08+1.6357890922120404e-08j)
24.184354133333336;(-8.514543784412487e-08+1.6492726824023628e-08j)
24.213991822222226;(-8.569106920247605e-08+1.6616674309299574e-08j)
24.243629511111113;(-8.621916545492009e-08+1.673983193324007e-08j)
24.273267200000003;(-8.675224919647947e-08+1.6891240182385307e-08j)
24.302904888888893;(-8.72708183454097e-08+1.705428279418574e-08j)
24.33254257777778;(-8.776455188314084e-08+1.722185685152328e-08j)
24.36218026666667;(-8.823763797877111e-08+1.738581069059998e-08j)
24.39181795555556;(-8.865582785170716e-08+1.752970800949716e-08j)
24.421455644444446;(-8.901618218592489e-08+1.7654273134399027e-08j)
24.451093333333336;(-8.935791354300893e-08+1.7756968313310385e-08j)
24.480731022222226;(-8.966948024309999e-08+1.7823681561771146e-08j)
24.510368711111113;(-8.995972345103427e-08+1.7852666033261737e-08j)
24.540006400000003;(-9.025603900972989e-08+1.785844995565363e-08j)
24.569644088888893;(-9.053085338817823e-08+1.7848971558208166e-08j)
24.59928177777778;(-9.0761878001597e-08+1.7858243830098282e-08j)
24.62891946666667;(-9.094945600358506e-08+1.7895021149685283e-08j)
24.65855715555556;(-9.111793471625773e-08+1.7926668301472505e-08j)
24.688194844444446;(-9.127056989153338e-08+1.7947716570562103e-08j)
24.717832533333336;(-9.139798588764415e-08+1.7968194616273913e-08j)
24.747470222222226;(-9.149074951227233e-08+1.7980095296094783e-08j)
24.777107911111113;(-9.156139837074801e-08+1.7990425159146265e-08j)
24.806745600000003;(-9.158876952282194e-08+1.7997543185586947e-08j)
24.836383288888893;(-9.156971660561452e-08+1.7982553324916312e-08j)
24.86602097777778;(-9.151151549499351e-08+1.7969976533619498e-08j)
24.89565866666667;(-9.142549161096115e-08+1.7959107280035514e-08j)
24.92529635555556;(-9.130813136039485e-08+1.7950436678568578e-08j)
24.954934044444446;(-9.117163054626612e-08+1.7943423987445963e-08j)
24.984571733333336;(-9.101396501070781e-08+1.792172012116393e-08j)
25.014209422222226;(-9.08217824119501e-08+1.785902490837223e-08j)
25.043847111111113;(-9.058827593874571e-08+1.7751136606150295e-08j)
25.073484800000003;(-9.031345701521659e-08+1.763987843363046e-08j)
25.103122488888893;(-9.000722949522115e-08+1.752085603473912e-08j)
25.13276017777778;(-8.963811992276197e-08+1.7414364669236748e-08j)
25.16239786666667;(-8.921767808513974e-08+1.732086148626174e-08j)
25.19203555555556;(-8.87821392703485e-08+1.7216333595656088e-08j)
25.221673244444446;(-8.832333437130733e-08+1.7108274791484915e-08j)
